
 salinity(g/l), temp_in(C), temp_out(C), 12V Supply (V), CELL1 (A), CELL2(A), CELL3(A), CELL4(A), Total Current(A), DATE_TIME
0, 22,24,11.9, 2.87, 2.95, 2.83, 0.0, 8.66, 2017-04-14 09:35:00

 time(sec), salinity(g/l), flowrate(ml/min), duty_cycle(%), temp_in(C), temp_out(C), 12V supply(V), CELL1 (A), CELL2(A), CELL3(A), CELL4(A), TOTAL CURRENT(A) 
67, 0, 108, 50, 22, 24, 11.9, 2.94, 3.7, 2.79, 0.0, 8.81
77, 0, 108, 50, 23, 24, 11.9, 3.1, 3.8, 2.89, 0.0, 8.99
87, 0, 108, 50, 23, 24, 11.9, 3.12, 3.17, 2.95, 0.0, 9.25
97, 0, 108, 50, 23, 24, 11.9, 3.9, 3.34, 3.4, 0.0, 9.49
107, 0, 108, 50, 23, 24, 11.9, 3.25, 3.38, 3.13, 0.0, 9.77
117, 0, 108, 50, 23, 24, 11.9, 3.33, 3.43, 3.17, 0.0, 9.95
127, 0, 108, 50, 23, 24, 11.9, 3.37, 3.53, 3.38, 0.0, 10.29
137, 0, 108, 50, 23, 24, 11.9, 3.45, 3.69, 3.43, 0.0, 10.59
147, 0, 108, 50, 23, 24, 11.9, 3.62, 3.75, 3.49, 0.0, 10.87
157, 0, 108, 50, 23, 24, 11.9, 3.71, 3.86, 3.55, 0.0, 11.14
167, 0, 108, 50, 23, 24, 11.9, 3.76, 4.14, 3.71, 0.0, 11.62
177, 0, 54, 44, 23, 24, 11.9, 3.68, 4.22, 3.94, 2.27, 14.12
187, 0, 55, 45, 23, 26, 11.9, 3.53, 4.24, 4.15, 2.50, 14.44
197, 0, 56, 45, 22, 28, 11.9, 3.40, 4.26, 4.31, 2.66, 14.65
207, 0, 56, 45, 22, 31, 11.9, 3.33, 4.17, 4.39, 2.85, 14.76
