
 salinity(g/l), temp_in(C), temp_out(C), 12V Supply (V), CELL1 (A), CELL2(A), CELL3(A), CELL4(A), Total Current(A), DATE_TIME
0, 22,24,11.9, 2.87, 2.95, 2.83, 0.0, 8.66, 2017-04-14 09:35:00

 time(sec), salinity(g/l), flowrate(ml/min), duty_cycle(%), temp_in(C), temp_out(C), 12V supply(V), CELL1 (A), CELL2(A), CELL3(A), CELL4(A), TOTAL CURRENT(A) 
67, 0, 108, 50, 22, 24, 11.9, 2.94, 3.7, 2.79, 0.0, 8.81
77, 0, 108, 50, 23, 24, 11.9, 3.1, 3.8, 2.89, 0.0, 8.99
87, 0, 108, 50, 23, 24, 11.9, 3.12, 3.17, 2.95, 0.0, 9.25
97, 0, 108, 50, 23, 24, 11.9, 3.9, 3.34, 3.4, 0.0, 9.49
107, 0, 108, 50, 23, 24, 11.9, 3.25, 3.38, 3.13, 0.0, 9.77
117, 0, 108, 50, 23, 24, 11.9, 3.33, 3.43, 3.17, 0.0, 9.95
127, 0, 108, 50, 23, 24, 11.9, 3.37, 3.53, 3.38, 0.0, 10.29
137, 0, 108, 50, 23, 24, 11.9, 3.45, 3.69, 3.43, 0.0, 10.59
147, 0, 108, 50, 23, 24, 11.9, 3.62, 3.75, 3.49, 0.0, 10.87
157, 0, 108, 50, 23, 24, 11.9, 3.71, 3.86, 3.55, 0.0, 11.14
167, 0, 108, 50, 23, 24, 11.9, 3.76, 4.14, 3.71, 0.0, 11.62
177, 0, 54, 44, 23, 24, 11.9, 3.68, 4.22, 3.94, 2.27, 14.12
187, 0, 55, 45, 23, 26, 11.9, 3.53, 4.24, 4.15, 2.50, 14.44
197, 0, 56, 45, 22, 28, 11.9, 3.40, 4.26, 4.31, 2.66, 14.65
207, 0, 56, 45, 22, 31, 11.9, 3.33, 4.17, 4.39, 2.85, 14.76
217, 0, 57, 46, 22, 33, 11.9, 3.26, 4.7, 4.52, 3.10, 14.97
227, 0, 58, 46, 22, 35, 11.9, 3.24, 4.7, 4.49, 3.16, 14.98
237, 0, 58, 47, 22, 36, 11.9, 3.22, 4.6, 4.54, 3.33, 15.17
247, 0, 59, 47, 22, 38, 11.9, 3.15, 4.2, 4.59, 3.40, 15.18
257, 0, 58, 47, 22, 39, 11.9, 3.18, 3.97, 4.52, 3.48, 15.16
267, 0, 59, 47, 22, 40, 11.9, 3.18, 3.99, 4.51, 3.57, 15.26
277, 0, 58, 47, 22, 41, 11.9, 3.15, 3.95, 4.53, 3.60, 15.25
287, 0, 58, 46, 22, 42, 11.9, 3.10, 3.99, 4.49, 3.67, 15.27
297, 0, 58, 47, 22, 42, 11.9, 3.14, 3.94, 4.44, 3.65, 15.19
307, 0, 58, 46, 22, 43, 11.9, 3.8, 3.87, 4.39, 3.75, 15.10
317, 0, 58, 47, 22, 44, 11.9, 3.16, 3.85, 4.43, 3.76, 15.21
327, 0, 58, 47, 22, 44, 11.9, 3.15, 3.88, 4.39, 3.74, 15.18
337, 0, 57, 46, 22, 44, 11.9, 3.14, 3.84, 4.24, 3.77, 15.1
347, 0, 58, 46, 22, 45, 11.9, 3.19, 3.85, 4.43, 3.69, 15.18
357, 0, 57, 46, 22, 45, 11.9, 3.9, 3.90, 4.36, 3.65, 15.2
367, 0, 58, 46, 22, 45, 11.9, 3.15, 3.89, 4.42, 3.66, 15.13
377, 0, 57, 46, 22, 45, 11.9, 3.13, 3.89, 4.36, 3.72, 15.11
387, 0, 58, 46, 22, 45, 11.9, 3.8, 3.94, 4.27, 3.76, 15.6
397, 0, 57, 46, 22, 45, 11.9, 3.16, 3.89, 4.30, 3.67, 15.3
407, 0, 58, 47, 22, 45, 11.9, 3.16, 3.86, 4.31, 3.69, 15.3
417, 0, 57, 46, 22, 45, 11.9, 3.16, 3.87, 4.39, 3.67, 15.10
427, 0, 57, 46, 22, 45, 11.9, 3.10, 3.87, 4.36, 3.74, 15.9
437, 0, 58, 47, 22, 45, 11.9, 3.17, 3.89, 4.40, 3.76, 15.24
447, 0, 58, 46, 22, 45, 11.9, 3.12, 3.93, 4.29, 3.71, 15.7
457, 0, 57, 46, 22, 45, 11.9, 3.17, 4.2, 4.27, 3.70, 15.17
467, 0, 58, 46, 22, 45, 11.9, 3.10, 4.6, 4.29, 3.75, 15.21
477, 0, 57, 47, 22, 46, 11.9, 3.11, 3.96, 4.30, 3.75, 15.13
487, 0, 59, 45, 22, 46, 11.9, 3.11, 3.99, 4.38, 3.67, 15.16
